timestamps population node_ids
3.0000000001 slice 1
6.0000000001 slice 98
56.0000000001 slice 98
150.0000000001 slice 8
121.0000000001 slice 10
101.0000000001 slice 14
109.0000000001 slice 19
88.0000000001 slice 97
104.0000000001 slice 23
134.0000000001 slice 32
117.0000000001 slice 35
167.0000000001 slice 35
180.0000000001 slice 40
104.0000000001 slice 45
100.0000000001 slice 48
118.0000000001 slice 24
62.0000000001 slice 97
35.0000000001 slice 97
6.0000000001 slice 97
7.0000000001 slice 72
29.0000000001 slice 72
94.0000000001 slice 77
25.0000000001 slice 81
7.0000000001 slice 85
24.0000000001 slice 85
16.0000000001 slice 86
47.0000000001 slice 86
76.0000000001 slice 86
16.0000000001 slice 87
6.0000000001 slice 92
37.0000000001 slice 92
68.0000000001 slice 92
10.0000000001 slice 96
33.0000000001 slice 96
119.0000000001 slice 49
39.0000000001 slice 71
104.0000000001 slice 50
124.0000000001 slice 59
207.0000000001 slice 56
235.0000000001 slice 56
212.0000000001 slice 57
202.0000000001 slice 64
225.0000000001 slice 69
227.0000000001 slice 73
229.0000000001 slice 52
239.0000000001 slice 73
268.0000000001 slice 80
243.0000000001 slice 83
203.0000000001 slice 91
257.0000000001 slice 94
308.0000000001 slice 43
331.0000000001 slice 82
204.0000000001 slice 76
288.0000000001 slice 43
267.0000000001 slice 43
244.0000000001 slice 43
159.0000000001 slice 77
163.0000000001 slice 79
104.0000000001 slice 84
146.0000000001 slice 88
114.0000000001 slice 89
113.0000000001 slice 97
137.0000000001 slice 97
231.0000000001 slice 0
261.0000000001 slice 0
203.0000000001 slice 5
257.0000000001 slice 20
201.0000000001 slice 21
254.0000000001 slice 30
202.0000000001 slice 37
203.0000000001 slice 43
133.0000000001 slice 50
20.0000000001 slice 71
3.0000000001 slice 71
54.0000000001 slice 70
54.0000000001 slice 21
69.0000000001 slice 21
6.0000000001 slice 24
48.0000000001 slice 24
84.0000000001 slice 24
9.0000000001 slice 25
38.0000000001 slice 21
46.0000000001 slice 25
25.0000000001 slice 31
67.0000000001 slice 31
79.0000000001 slice 32
38.0000000001 slice 33
2.0000000001 slice 34
17.0000000001 slice 36
81.0000000001 slice 25
22.0000000001 slice 21
5.0000000001 slice 21
79.0000000001 slice 18
12.0000000001 slice 1
22.0000000001 slice 1
5.0000000001 slice 4
31.0000000001 slice 4
56.0000000001 slice 4
24.0000000001 slice 6
46.0000000001 slice 6
7.0000000001 slice 9
28.0000000001 slice 9
3.0000000001 slice 11
33.0000000001 slice 11
5.0000000001 slice 12
23.0000000001 slice 12
59.0000000001 slice 13
42.0000000001 slice 18
37.0000000001 slice 36
57.0000000001 slice 36
6.0000000001 slice 38
44.0000000001 slice 38
38.0000000001 slice 55
6.0000000001 slice 59
56.0000000001 slice 59
91.0000000001 slice 59
16.0000000001 slice 64
29.0000000001 slice 64
43.0000000001 slice 64
7.0000000001 slice 66
47.0000000001 slice 66
7.0000000001 slice 68
25.0000000001 slice 68
4.0000000001 slice 70
16.0000000001 slice 70
29.0000000001 slice 70
42.0000000001 slice 70
14.0000000001 slice 55
389.0000000001 slice 82
69.0000000001 slice 53
37.0000000001 slice 53
78.0000000001 slice 38
17.0000000001 slice 39
22.0000000001 slice 41
18.0000000001 slice 42
32.0000000001 slice 47
12.0000000001 slice 48
34.0000000001 slice 48
57.0000000001 slice 48
79.0000000001 slice 48
70.0000000001 slice 49
5.0000000001 slice 50
42.0000000001 slice 50
74.0000000001 slice 50
51.0000000001 slice 51
2.0000000001 slice 53
54.0000000001 slice 53
396.0000000001 slice 99
