edge_type_id target_query source_query target_sections syn_weight dynamics_params delay model_template distance_range
100 node_type_id=='471129934' * "[""basal"", ""apical""]" 1.08903824855e-05 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
101 node_type_id=='471143169' * "[""basal"", ""apical""]" 3.11851881082e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
102 node_type_id=='471758398' * "[""basal"", ""apical""]" 4.3969421778599995e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
103 node_type_id=='471767045' * "[""basal"", ""apical""]" 3.43091177078e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
104 node_type_id=='485574832' * "[""basal"", ""apical""]" 1.28540355656e-05 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
105 node_type_id=='485835055' * "[""basal"", ""apical""]" 3.5964928358800005e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
106 node_type_id=='485880739' * "[""basal"", ""apical""]" 2.8060342949799998e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
107 node_type_id=='486052980' * "[""basal"", ""apical""]" 2.1996382948799998e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
108 node_type_id=='486110216' * "[""basal"", ""apical""]" 3.7685220269800002e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
109 node_type_id=='487664663' * "[""basal"", ""apical""]" 1.25591206244e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
110 node_type_id=='485912047' * "[""basal"", ""apical""]" 0.0006025849113659999 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
111 node_type_id=='487661754' * "[""basal"", ""apical""]" 4.09204006474e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
112 node_type_id=='321708130' * "[""somatic"", ""basal""]" 8.605979290700001e-05 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
113 node_type_id=='466245544' * "[""somatic"", ""basal""]" 0.000114966148259 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
114 node_type_id=='471087830' * "[""somatic"", ""basal""]" 2.06960887089e-05 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
115 node_type_id=='475888653' * "[""somatic"", ""basal""]" 0.000120067420589 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
116 node_type_id=='478058328' * "[""somatic"", ""basal""]" 4.10580800351e-05 AMPA_ExcToInh.json 1.7 exp2syn "[0.0, 1e+20]"
