node_type_id location pop_name level_of_detail ei model_type
100 LGN sON_TF1 filter e virtual
101 LGN sON_TF2 filter e virtual
102 LGN sON_TF4 filter e virtual
103 LGN sON_TF8 filter e virtual
104 LGN sOFF_TF1 filter e virtual
105 LGN sOFF_TF2 filter e virtual
106 LGN sOFF_TF4 filter e virtual
107 LGN sOFF_TF8 filter e virtual
108 LGN sOFF_TF15 filter e virtual
109 LGN tOFF_TF4 filter e virtual
110 LGN tOFF_TF8 filter e virtual
111 LGN tOFF_TF15 filter e virtual
112 LGN sONsOFF_001 filter e virtual
113 LGN sONtOFF_001 filter e virtual
