node_type_id dynamics_params location pop_name model_processing morphology ei population model_type model_template
100000117 i1Htr3a_avg_lif.json VisL1 LIFi1Htr3a   i v1 point_process nrn:IntFire1
475585413 475585413_fit.json VisL1 i1Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-185347.03.02.01_492100857_m.swc i v1 biophysical ctdb:Biophys1.hoc
478107198 478107198_fit.json VisL1 i1Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i v1 biophysical ctdb:Biophys1.hoc
100000102 e23Cux2_avg_lif.json VisL23 LIFe23Cux2   e v1 point_process nrn:IntFire1
487661754 487661754_fit.json VisL23 e23Cux2 aibs_perisomatic Cux2-CreERT2_Ai14-211772.05.02.01_496085150_m.swc e v1 biophysical ctdb:Biophys1.hoc
100000107 i23Htr3a_avg_lif.json VisL23 LIFi23Htr3a   i v1 point_process nrn:IntFire1
327962063 327962063_fit.json VisL23 i23Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-175482.03.02.01_491119419_m.swc i v1 biophysical ctdb:Biophys1.hoc
464188580 464188580_fit.json VisL23 i23Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-178910.03.01.01_491120333_m.swc i v1 biophysical ctdb:Biophys1.hoc
469753383 469753383_fit.json VisL23 i23Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-178904.04.01.01_491120305_m.swc i v1 biophysical ctdb:Biophys1.hoc
473943881 473943881_fit.json VisL23 i23Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-182494.05.01.01_492100793_m.swc i v1 biophysical ctdb:Biophys1.hoc
474267418 474267418_fit.json VisL23 i23Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-182497.03.01.01_491119305_m.swc i v1 biophysical ctdb:Biophys1.hoc
475622680 475622680_fit.json VisL23 i23Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-185555.03.01.01_491119960_m.swc i v1 biophysical ctdb:Biophys1.hoc
475622793 475622793_fit.json VisL23 i23Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i v1 biophysical ctdb:Biophys1.hoc
