edge_type_id target_query source_query weight_function syn_weight target_sections weight_sigma dynamics_params delay model_template distance_range
100 node_type_id=='100000101' pop_name=='e5Rbp4' DirectionRule_EE 0.0359759875443 NULL 30.0 instanteneousExc.json 1.5 NULL NULL
101 node_type_id=='100000101' pop_name=='e23Cux2' DirectionRule_EE 0.0177408938576 NULL 30.0 instanteneousExc.json 1.8 NULL NULL
102 node_type_id=='100000101' pop_name=='i6Pvalb' DirectionRule_others 0.0152088395155 NULL 90.0 instanteneousInh.json 0.9 NULL NULL
103 node_type_id=='100000101' pop_name=='e4Scnn1a' DirectionRule_EE 0.0150363325007 NULL 30.0 instanteneousExc.json 1.5 NULL NULL
104 node_type_id=='100000101' pop_name=='i23Pvalb' DirectionRule_others 0.00113008845921 NULL 90.0 instanteneousInh.json 0.9 NULL NULL
105 node_type_id=='100000101' pop_name=='e4other' DirectionRule_EE 0.0150363325007 NULL 30.0 instanteneousExc.json 1.5 NULL NULL
106 node_type_id=='100000101' pop_name=='i5Pvalb' DirectionRule_others 0.00506961317185 NULL 90.0 instanteneousInh.json 0.9 NULL NULL
107 node_type_id=='100000101' pop_name=='i4Pvalb' DirectionRule_others 0.00450815139788 NULL 90.0 instanteneousInh.json 0.9 NULL NULL
108 node_type_id=='100000101' pop_name=='LIFe4Rorb' DirectionRule_EE 0.0150363325007 NULL 30.0 instanteneousExc.json 1.5 NULL NULL
109 node_type_id=='100000101' pop_name=='e4Rorb' DirectionRule_EE 0.0150363325007 NULL 30.0 instanteneousExc.json 1.5 NULL NULL
110 node_type_id=='100000101' pop_name=='i4Sst' DirectionRule_others 0.00205008026393 NULL 90.0 instanteneousInh.json 1.5 NULL NULL
111 node_type_id=='100000101' pop_name=='e4Nr5a1' DirectionRule_EE 0.0150363325007 NULL 30.0 instanteneousExc.json 1.5 NULL NULL
112 node_type_id=='100000101' pop_name=='e5noRbp4' DirectionRule_EE 0.0359759875443 NULL 30.0 instanteneousExc.json 1.5 NULL NULL
113 node_type_id=='100000101' pop_name=='e6Ntsr1' DirectionRule_EE 0.00541163173066 NULL 30.0 instanteneousExc.json 3.5 NULL NULL
114 node_type_id=='100000101' pop_name=='i6Htr3a' DirectionRule_others 0.0017986174408199996 NULL 90.0 instanteneousInh.json 1.5 NULL NULL
115 node_type_id=='100000101' pop_name=='e4Rorb' DirectionRule_EE 0.0 NULL 30.0 instanteneousInh.json 1.5 NULL NULL
116 node_type_id=='100000101' pop_name=='i23Sst' DirectionRule_others 0.00156343861382 NULL 90.0 instanteneousInh.json 1.5 NULL NULL
117 node_type_id=='100000101' pop_name=='i6Htr3a' DirectionRule_others 0.0017986174408199996 NULL 90.0 instanteneousInh.json 1.5 NULL NULL
118 node_type_id=='100000101' pop_name=='i5Htr3a' DirectionRule_others 0.0017986174408199996 NULL 90.0 instanteneousInh.json 1.5 NULL NULL
119 node_type_id=='100000101' pop_name=='i6Sst' DirectionRule_others 0.00195643428067 NULL 90.0 instanteneousInh.json 1.5 NULL NULL
120 node_type_id=='100000101' pop_name=='i5Sst' DirectionRule_others 0.00195643428067 NULL 90.0 instanteneousInh.json 1.5 NULL NULL
121 node_type_id=='100000101' pop_name=='LIFe5Rbp4' DirectionRule_EE 0.0359759875443 NULL 30.0 instanteneousExc.json 1.5 NULL NULL
