time  (s)	size (kb)	%mem	%cpu
5	202304	0	71.8
10	204064	0	86
15	208392	0	90.6
20	212388	0	93
25	217132	0	94.4
30	220992	0	95.4
36	225064	0	96
41	253628	0	96.5
46	274524	0	96.9
51	274524	0	97.2
56	285900	0	97.5
61	302400	0	97.7
66	343584	0	97.9
71	384912	0	98
76	393888	0	98.2
81	408892	0	98.3
86	408892	0	98.4
91	408892	0	98.5
96	440212	0	98.6
101	440212	0	98.7
106	440212	0	98.7
111	440212	0	98.8
116	440212	0	98.8
121	440212	0	98.9
126	443452	0	98.9
131	452548	0	99
136	452548	0	99
141	464480	0	99.1
146	464480	0	99.1
151	471040	0	99.1
156	479184	0	99.2
161	483620	0	98.6
166	492844	0	98.6
171	523820	0	98.7
176	523820	0	98.7
181	523820	0	98.7
186	523820	0	98.8
191	523820	0	98.8
196	523820	0	98.8
201	531316	0	98.9
