timestamps population node_ids
10.500000000099938 net 0
70.50000000010746 net 0
50.50000000010292 net 1
55.50000000010406 net 1
60.5000000001052 net 1
65.50000000010633 net 1
70.50000000010746 net 1
65.50000000010633 net 0
75.5000000001086 net 0
85.50000000011087 net 0
90.500000000112 net 0
95.50000000011316 net 0
75.5000000001086 net 1
80.50000000010974 net 1
85.50000000011087 net 1
80.50000000010974 net 0
60.5000000001052 net 0
55.50000000010406 net 0
50.50000000010292 net 0
15.450000000099656 net 0
20.47500000009937 net 0
10.550000000099937 net 1
15.450000000099656 net 1
20.47500000009937 net 1
25.500000000099085 net 0
30.5000000000988 net 0
35.50000000009951 net 0
40.50000000010065 net 0
45.500000000101785 net 0
25.475000000099087 net 1
30.4750000000988 net 1
35.475000000099506 net 1
40.47500000010064 net 1
45.500000000101785 net 1
90.500000000112 net 1
95.47500000011314 net 1
