timestamps population node_ids
2000.1750000051848 net 0
2090.175000004745 net 0
2085.1750000048182 net 0
2080.175000004891 net 0
2075.175000004964 net 0
2070.1750000050365 net 0
2065.1750000051093 net 0
2060.175000005182 net 0
2055.175000005255 net 0
2050.1750000053275 net 0
2046.2500000053528 net 1
2045.175000005349 net 0
2040.1750000053307 net 0
2035.1750000053123 net 0
2030.1750000052944 net 0
2025.175000005276 net 0
2020.175000005258 net 0
2015.15000000524 net 0
2010.1500000052213 net 0
2005.1500000052035 net 0
2095.1750000046727 net 0
2099.7250000046065 net 1
