2024-04-24 22:56:43,915 [INFO] Created log file
2024-04-24 22:56:43,919 [INFO] Running NEURON with mpi (36 cores).
2024-04-24 22:56:51,960 [INFO] Building cells.
2024-04-24 22:56:52,190 [INFO] Fixing cell #3384, i1Htr3a
2024-04-24 22:56:52,333 [INFO] Fixing cell #3420, i1Htr3a
2024-04-24 22:56:52,478 [INFO] Fixing cell #3456, i1Htr3a
2024-04-24 22:56:52,617 [INFO] Fixing cell #3492, i1Htr3a
2024-04-24 22:56:52,756 [INFO] Fixing cell #3528, i1Htr3a
2024-04-24 22:56:52,895 [INFO] Fixing cell #3564, i1Htr3a
2024-04-24 22:56:53,035 [INFO] Fixing cell #3600, i1Htr3a
2024-04-24 22:56:53,177 [INFO] Fixing cell #3636, i1Htr3a
2024-04-24 22:56:53,316 [INFO] Fixing cell #3672, i1Htr3a
2024-04-24 22:56:53,454 [INFO] Fixing cell #3708, i1Htr3a
2024-04-24 22:56:53,594 [INFO] Fixing cell #3744, i1Htr3a
2024-04-24 22:56:53,733 [INFO] Fixing cell #3780, i1Htr3a
2024-04-24 22:56:53,875 [INFO] Fixing cell #3816, i1Htr3a
2024-04-24 22:56:54,016 [INFO] Fixing cell #3852, i1Htr3a
2024-04-24 22:56:54,157 [INFO] Fixing cell #3888, i1Htr3a
2024-04-24 22:56:54,300 [INFO] Fixing cell #3924, i1Htr3a
2024-04-24 22:56:54,443 [INFO] Fixing cell #3960, i1Htr3a
2024-04-24 22:56:54,586 [INFO] Fixing cell #3996, i1Htr3a
2024-04-24 22:56:54,728 [INFO] Fixing cell #4032, i1Htr3a
2024-04-24 22:56:54,870 [INFO] Fixing cell #4068, i1Htr3a
2024-04-24 22:56:55,012 [INFO] Fixing cell #4104, i1Htr3a
2024-04-24 22:56:55,154 [INFO] Fixing cell #4140, i1Htr3a
2024-04-24 22:56:55,297 [INFO] Fixing cell #4176, i1Htr3a
2024-04-24 22:56:55,439 [INFO] Fixing cell #4212, i1Htr3a
2024-04-24 22:56:55,581 [INFO] Fixing cell #4248, i1Htr3a
2024-04-24 22:56:55,723 [INFO] Fixing cell #4284, i1Htr3a
2024-04-24 22:56:55,866 [INFO] Fixing cell #4320, i1Htr3a
2024-04-24 22:56:55,904 [INFO] Fixing cell #4356, i1Htr3a
2024-04-24 22:56:57,195 [INFO] Fixing cell #47736, e23Cux2
2024-04-24 22:56:57,272 [INFO] Fixing cell #47772, e23Cux2
2024-04-24 22:56:57,347 [INFO] Fixing cell #47808, e23Cux2
2024-04-24 22:56:57,421 [INFO] Fixing cell #47844, e23Cux2
2024-04-24 22:56:57,496 [INFO] Fixing cell #47880, e23Cux2
2024-04-24 22:56:57,571 [INFO] Fixing cell #47916, e23Cux2
2024-04-24 22:56:57,646 [INFO] Fixing cell #47952, e23Cux2
2024-04-24 22:56:57,721 [INFO] Fixing cell #47988, e23Cux2
2024-04-24 22:56:57,796 [INFO] Fixing cell #48024, e23Cux2
2024-04-24 22:56:57,871 [INFO] Fixing cell #48060, e23Cux2
2024-04-24 22:56:57,947 [INFO] Fixing cell #48096, e23Cux2
2024-04-24 22:56:58,023 [INFO] Fixing cell #48132, e23Cux2
2024-04-24 22:56:58,099 [INFO] Fixing cell #48168, e23Cux2
2024-04-24 22:56:58,175 [INFO] Fixing cell #48204, e23Cux2
2024-04-24 22:56:58,251 [INFO] Fixing cell #48240, e23Cux2
2024-04-24 22:56:58,328 [INFO] Fixing cell #48276, e23Cux2
2024-04-24 22:56:58,405 [INFO] Fixing cell #48312, e23Cux2
2024-04-24 22:56:58,481 [INFO] Fixing cell #48348, e23Cux2
2024-04-24 22:56:58,559 [INFO] Fixing cell #48384, e23Cux2
2024-04-24 22:56:58,636 [INFO] Fixing cell #48420, e23Cux2
2024-04-24 22:56:58,713 [INFO] Fixing cell #48456, e23Cux2
2024-04-24 22:56:58,790 [INFO] Fixing cell #48492, e23Cux2
2024-04-24 22:56:58,868 [INFO] Fixing cell #48528, e23Cux2
2024-04-24 22:56:58,945 [INFO] Fixing cell #48564, e23Cux2
2024-04-24 22:56:59,023 [INFO] Fixing cell #48600, e23Cux2
2024-04-24 22:56:59,102 [INFO] Fixing cell #48636, e23Cux2
2024-04-24 22:56:59,180 [INFO] Fixing cell #48672, e23Cux2
2024-04-24 22:56:59,258 [INFO] Fixing cell #48708, e23Cux2
2024-04-24 22:56:59,336 [INFO] Fixing cell #48744, e23Cux2
2024-04-24 22:56:59,415 [INFO] Fixing cell #48780, e23Cux2
2024-04-24 22:56:59,494 [INFO] Fixing cell #48816, e23Cux2
2024-04-24 22:56:59,573 [INFO] Fixing cell #48852, e23Cux2
2024-04-24 22:56:59,652 [INFO] Fixing cell #48888, e23Cux2
2024-04-24 22:56:59,731 [INFO] Fixing cell #48924, e23Cux2
2024-04-24 22:56:59,812 [INFO] Fixing cell #48960, e23Cux2
2024-04-24 22:56:59,898 [INFO] Fixing cell #48996, e23Cux2
2024-04-24 22:56:59,978 [INFO] Fixing cell #49032, e23Cux2
2024-04-24 22:57:00,058 [INFO] Fixing cell #49068, e23Cux2
2024-04-24 22:57:00,139 [INFO] Fixing cell #49104, e23Cux2
2024-04-24 22:57:00,219 [INFO] Fixing cell #49140, e23Cux2
2024-04-24 22:57:00,300 [INFO] Fixing cell #49176, e23Cux2
2024-04-24 22:57:00,381 [INFO] Fixing cell #49212, e23Cux2
