mouse;amplitude;pattern;spearman;pvalue;lower_bound;upper_bound
0;10;0;0.03496901153096544;0.32684485926442364;-0.1175214418419625;0.18584838429092876
0;10;5;0.05579947836669697;0.25176248877737284;-0.10762744911133537;0.21629019002526068
0;10;9;-0.16045158460024964;0.9684868976553325;-0.3207171546294212;0.008745700423359443
0;20;0;-0.2603729942976439;0.9999808509093043;-0.37373989767397525;-0.13934131567091057
0;20;5;-0.4553189524618976;0.9999999994913289;-0.5692020006751138;-0.32429403163220344
0;20;9;0.040761266322701;0.3555459373411114;-0.1738771469656277;0.25170251491857043
1;10;0;0.11306538819721001;0.06757620005185094;-0.03545026008257832;0.2566949250382632
1;10;5;-0.13549376366899804;0.940029404179309;-0.2988310583163512;0.035556201266333715
1;10;9;0.1624937750783637;0.027543881006481197;-0.0035070434032452094;0.31977920474566324
1;20;0;-0.051368634057532184;0.6875806815947478;-0.25243892323549033;0.15395431762541056
1;20;5;0.24024867196701105;0.004538816861258304;0.06138988599058446;0.4041580234858323
1;20;9;0.14558514531695796;0.0959368798217983;-0.07375605947610094;0.3514912663621235
2;10;0;0.3813231026454211;2.0605781016537398e-08;0.2540956794631872;0.4955781354366253
2;10;5;0.20664646541888468;0.003346285400430271;0.05838191708206096;0.3459915230099463
2;10;9;0.2901116933558676;0.00035291828663893614;0.12610985519179707;0.43867718382194676
2;20;0;0.04308433453023601;0.3477070204668425;-0.17161943580538508;0.25388095903864755
2;20;5;-0.39435606643059745;0.99999998024362;-0.510832879816849;-0.26366173854109914
2;20;9;0.23876856323563866;0.014858501950219512;0.02432835550041386;0.43220292855208936
