node_type_id level_of_detail pop_name ei location model_type
100 filter sON_TF1 e LGN virtual
101 filter sON_TF2 e LGN virtual
102 filter sON_TF4 e LGN virtual
103 filter sON_TF8 e LGN virtual
104 filter sOFF_TF1 e LGN virtual
105 filter sOFF_TF2 e LGN virtual
106 filter sOFF_TF4 e LGN virtual
107 filter sOFF_TF8 e LGN virtual
108 filter sOFF_TF15 e LGN virtual
109 filter tOFF_TF4 e LGN virtual
110 filter tOFF_TF8 e LGN virtual
111 filter tOFF_TF15 e LGN virtual
112 filter sONsOFF_001 e LGN virtual
113 filter sONtOFF_001 e LGN virtual
