node_type_id model_template dynamics_params model_processing pop_name population ei location model_type morphology
100000117 nrn:IntFire1 i1Htr3a_avg_lif.json  LIFi1Htr3a v1 i VisL1 point_process 
475585413 ctdb:Biophys1.hoc 475585413_fit.json aibs_perisomatic i1Htr3a v1 i VisL1 biophysical Htr3a-Cre_NO152_Ai14-185347.03.02.01_492100857_m.swc
478107198 ctdb:Biophys1.hoc 478107198_fit.json aibs_perisomatic i1Htr3a v1 i VisL1 biophysical Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc
100000102 nrn:IntFire1 e23Cux2_avg_lif.json  LIFe23Cux2 v1 e VisL23 point_process 
487661754 ctdb:Biophys1.hoc 487661754_fit.json aibs_perisomatic e23Cux2 v1 e VisL23 biophysical Cux2-CreERT2_Ai14-211772.05.02.01_496085150_m.swc
100000107 nrn:IntFire1 i23Htr3a_avg_lif.json  LIFi23Htr3a v1 i VisL23 point_process 
327962063 ctdb:Biophys1.hoc 327962063_fit.json aibs_perisomatic i23Htr3a v1 i VisL23 biophysical Htr3a-Cre_NO152_Ai14-175482.03.02.01_491119419_m.swc
464188580 ctdb:Biophys1.hoc 464188580_fit.json aibs_perisomatic i23Htr3a v1 i VisL23 biophysical Htr3a-Cre_NO152_Ai14-178910.03.01.01_491120333_m.swc
469753383 ctdb:Biophys1.hoc 469753383_fit.json aibs_perisomatic i23Htr3a v1 i VisL23 biophysical Htr3a-Cre_NO152_Ai14-178904.04.01.01_491120305_m.swc
473943881 ctdb:Biophys1.hoc 473943881_fit.json aibs_perisomatic i23Htr3a v1 i VisL23 biophysical Htr3a-Cre_NO152_Ai14-182494.05.01.01_492100793_m.swc
474267418 ctdb:Biophys1.hoc 474267418_fit.json aibs_perisomatic i23Htr3a v1 i VisL23 biophysical Htr3a-Cre_NO152_Ai14-182497.03.01.01_491119305_m.swc
475622680 ctdb:Biophys1.hoc 475622680_fit.json aibs_perisomatic i23Htr3a v1 i VisL23 biophysical Htr3a-Cre_NO152_Ai14-185555.03.01.01_491119960_m.swc
475622793 ctdb:Biophys1.hoc 475622793_fit.json aibs_perisomatic i23Htr3a v1 i VisL23 biophysical Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc
479220013 ctdb:Biophys1.hoc 479220013_fit.json aibs_perisomatic i23Htr3a v1 i VisL23 biophysical Htr3a-Cre_NO152_Ai14-195039.04.02.01_491119581_m.swc
100000105 nrn:IntFire1 i23Pvalb_avg_lif.json  LIFi23Pvalb v1 i VisL23 point_process 
341442651 ctdb:Biophys1.hoc 341442651_fit.json aibs_perisomatic i23Pvalb v1 i VisL23 biophysical Pvalb-IRES-Cre_Ai14-178310.02.01.01_513557093_m.swc
484635029 ctdb:Biophys1.hoc 484635029_fit.json aibs_perisomatic i23Pvalb v1 i VisL23 biophysical Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc
