edge_type_id target_query source_query dynamics_params model_template weight_sigma weight_function distance_range delay syn_weight target_sections
100 node_type_id=='100000101' pop_name=='e5Rbp4' instanteneousExc.json NULL 30.0 DirectionRule_EE NULL 1.5 0.0359759875443 NULL
101 node_type_id=='100000101' pop_name=='e23Cux2' instanteneousExc.json NULL 30.0 DirectionRule_EE NULL 1.8 0.0177408938576 NULL
102 node_type_id=='100000101' pop_name=='i6Pvalb' instanteneousInh.json NULL 90.0 DirectionRule_others NULL 0.9 0.0152088395155 NULL
103 node_type_id=='100000101' pop_name=='e4Scnn1a' instanteneousExc.json NULL 30.0 DirectionRule_EE NULL 1.5 0.0150363325007 NULL
104 node_type_id=='100000101' pop_name=='i23Pvalb' instanteneousInh.json NULL 90.0 DirectionRule_others NULL 0.9 0.00113008845921 NULL
105 node_type_id=='100000101' pop_name=='e4other' instanteneousExc.json NULL 30.0 DirectionRule_EE NULL 1.5 0.0150363325007 NULL
106 node_type_id=='100000101' pop_name=='i5Pvalb' instanteneousInh.json NULL 90.0 DirectionRule_others NULL 0.9 0.00506961317185 NULL
107 node_type_id=='100000101' pop_name=='i4Pvalb' instanteneousInh.json NULL 90.0 DirectionRule_others NULL 0.9 0.00450815139788 NULL
108 node_type_id=='100000101' pop_name=='LIFe4Rorb' instanteneousExc.json NULL 30.0 DirectionRule_EE NULL 1.5 0.0150363325007 NULL
109 node_type_id=='100000101' pop_name=='e4Rorb' instanteneousExc.json NULL 30.0 DirectionRule_EE NULL 1.5 0.0150363325007 NULL
110 node_type_id=='100000101' pop_name=='i4Sst' instanteneousInh.json NULL 90.0 DirectionRule_others NULL 1.5 0.00205008026393 NULL
111 node_type_id=='100000101' pop_name=='e4Nr5a1' instanteneousExc.json NULL 30.0 DirectionRule_EE NULL 1.5 0.0150363325007 NULL
112 node_type_id=='100000101' pop_name=='e5noRbp4' instanteneousExc.json NULL 30.0 DirectionRule_EE NULL 1.5 0.0359759875443 NULL
113 node_type_id=='100000101' pop_name=='e6Ntsr1' instanteneousExc.json NULL 30.0 DirectionRule_EE NULL 3.5 0.00541163173066 NULL
114 node_type_id=='100000101' pop_name=='i6Htr3a' instanteneousInh.json NULL 90.0 DirectionRule_others NULL 1.5 0.0017986174408199 NULL
