2024-03-15 11:58:09,795 [INFO] Created log file
2024-03-15 11:58:09,856 [INFO] Building cells.
2024-03-15 11:58:09,924 [INFO] Fixing cell #0, e23Cux2
2024-03-15 11:58:09,974 [INFO] Fixing cell #1, e23Cux2
2024-03-15 11:58:10,057 [INFO] Fixing cell #2, e23Cux2
2024-03-15 11:58:10,107 [INFO] Fixing cell #3, e23Cux2
2024-03-15 11:58:10,174 [INFO] Fixing cell #4, e23Cux2
2024-03-15 11:58:10,241 [INFO] Fixing cell #5, e23Cux2
2024-03-15 11:58:10,291 [INFO] Fixing cell #6, e23Cux2
2024-03-15 11:58:10,357 [INFO] Fixing cell #7, e23Cux2
2024-03-15 11:58:10,409 [INFO] Fixing cell #8, e23Cux2
2024-03-15 11:58:10,475 [INFO] Fixing cell #9, e23Cux2
2024-03-15 11:58:10,545 [INFO] Fixing cell #10, e23Cux2
2024-03-15 11:58:10,607 [INFO] Fixing cell #11, e23Cux2
2024-03-15 11:58:10,674 [INFO] Fixing cell #12, e23Cux2
2024-03-15 11:58:10,806 [INFO] Fixing cell #13, e23Cux2
2024-03-15 11:58:10,891 [INFO] Fixing cell #14, e23Cux2
2024-03-15 11:58:10,957 [INFO] Fixing cell #15, e23Cux2
2024-03-15 11:58:11,008 [INFO] Fixing cell #16, e23Cux2
2024-03-15 11:58:11,074 [INFO] Fixing cell #17, e23Cux2
2024-03-15 11:58:11,141 [INFO] Fixing cell #18, e23Cux2
2024-03-15 11:58:11,191 [INFO] Fixing cell #19, e23Cux2
2024-03-15 11:58:11,257 [INFO] Fixing cell #20, e23Cux2
2024-03-15 11:58:11,324 [INFO] Fixing cell #21, e23Cux2
2024-03-15 11:58:11,455 [INFO] Fixing cell #22, e23Cux2
2024-03-15 11:58:11,540 [INFO] Fixing cell #23, e23Cux2
2024-03-15 11:58:11,591 [INFO] Fixing cell #24, e23Cux2
2024-03-15 11:58:11,657 [INFO] Fixing cell #25, e23Cux2
2024-03-15 11:58:11,708 [INFO] Fixing cell #26, e23Cux2
2024-03-15 11:58:11,774 [INFO] Fixing cell #27, e23Cux2
2024-03-15 11:58:11,841 [INFO] Fixing cell #28, e23Cux2
2024-03-15 11:58:11,907 [INFO] Fixing cell #29, e23Cux2
2024-03-15 11:58:11,957 [INFO] Fixing cell #30, e23Cux2
2024-03-15 11:58:12,024 [INFO] Fixing cell #31, e23Cux2
2024-03-15 11:58:12,091 [INFO] Fixing cell #32, e23Cux2
2024-03-15 11:58:12,158 [INFO] Fixing cell #33, e23Cux2
2024-03-15 11:58:12,207 [INFO] Fixing cell #34, e23Cux2
2024-03-15 11:58:12,274 [INFO] Fixing cell #35, e23Cux2
2024-03-15 11:58:12,341 [INFO] Fixing cell #36, e23Cux2
2024-03-15 11:58:12,408 [INFO] Fixing cell #37, e23Cux2
2024-03-15 11:58:12,457 [INFO] Fixing cell #38, e23Cux2
2024-03-15 11:58:12,524 [INFO] Fixing cell #39, e23Cux2
2024-03-15 11:58:12,631 [INFO] Fixing cell #40, e23Cux2
2024-03-15 11:58:12,691 [INFO] Fixing cell #41, e23Cux2
2024-03-15 11:58:12,757 [INFO] Fixing cell #42, e23Cux2
2024-03-15 11:58:12,824 [INFO] Fixing cell #43, e23Cux2
2024-03-15 11:58:12,890 [INFO] Fixing cell #44, e23Cux2
2024-03-15 11:58:12,958 [INFO] Fixing cell #45, e23Cux2
2024-03-15 11:58:13,024 [INFO] Fixing cell #46, e23Cux2
2024-03-15 11:58:13,091 [INFO] Fixing cell #47, e23Cux2
2024-03-15 11:58:13,157 [INFO] Fixing cell #48, e23Cux2
2024-03-15 11:58:13,224 [INFO] Fixing cell #49, e23Cux2
2024-03-15 11:58:13,291 [INFO] Fixing cell #50, e23Cux2
2024-03-15 11:58:13,357 [INFO] Fixing cell #51, e23Cux2
2024-03-15 11:58:13,407 [INFO] Fixing cell #52, e23Cux2
2024-03-15 11:58:13,491 [INFO] Fixing cell #53, e23Cux2
2024-03-15 11:58:13,557 [INFO] Fixing cell #54, e23Cux2
2024-03-15 11:58:13,624 [INFO] Fixing cell #55, e23Cux2
2024-03-15 11:58:13,691 [INFO] Fixing cell #56, e23Cux2
2024-03-15 11:58:13,757 [INFO] Fixing cell #57, e23Cux2
2024-03-15 11:58:13,824 [INFO] Fixing cell #58, e23Cux2
2024-03-15 11:58:13,894 [INFO] Fixing cell #59, e23Cux2
2024-03-15 11:58:13,958 [INFO] Fixing cell #60, e23Cux2
2024-03-15 11:58:14,024 [INFO] Fixing cell #61, e23Cux2
2024-03-15 11:58:14,091 [INFO] Fixing cell #62, e23Cux2
2024-03-15 11:58:14,169 [INFO] Fixing cell #63, e23Cux2
2024-03-15 11:58:14,224 [INFO] Fixing cell #64, e23Cux2
2024-03-15 11:58:14,307 [INFO] Fixing cell #65, e23Cux2
2024-03-15 11:58:14,374 [INFO] Fixing cell #66, e23Cux2
2024-03-15 11:58:14,459 [INFO] Fixing cell #67, e23Cux2
2024-03-15 11:58:14,524 [INFO] Fixing cell #68, e23Cux2
2024-03-15 11:58:14,618 [INFO] Fixing cell #69, e23Cux2
2024-03-15 11:58:14,691 [INFO] Fixing cell #70, e23Cux2
2024-03-15 11:58:14,770 [INFO] Fixing cell #71, e23Cux2
2024-03-15 11:58:14,856 [INFO] Fixing cell #72, e23Cux2
2024-03-15 11:58:14,932 [INFO] Fixing cell #73, e23Cux2
2024-03-15 11:58:15,006 [INFO] Fixing cell #74, e23Cux2
2024-03-15 11:58:15,076 [INFO] Fixing cell #75, e23Cux2
2024-03-15 11:58:15,141 [INFO] Fixing cell #76, e23Cux2
2024-03-15 11:58:15,225 [INFO] Fixing cell #77, e23Cux2
2024-03-15 11:58:15,307 [INFO] Fixing cell #78, e23Cux2
2024-03-15 11:58:15,376 [INFO] Fixing cell #79, e23Cux2
2024-03-15 11:58:15,441 [INFO] Fixing cell #80, e23Cux2
2024-03-15 11:58:15,524 [INFO] Fixing cell #81, e23Cux2
2024-03-15 11:58:15,597 [INFO] Fixing cell #82, e23Cux2
2024-03-15 11:58:15,676 [INFO] Fixing cell #83, e23Cux2
2024-03-15 11:58:15,741 [INFO] Fixing cell #84, e23Cux2
2024-03-15 11:58:15,824 [INFO] Fixing cell #85, e23Cux2
2024-03-15 11:58:15,898 [INFO] Fixing cell #86, e23Cux2
2024-03-15 11:58:15,975 [INFO] Fixing cell #87, e23Cux2
2024-03-15 11:58:16,041 [INFO] Fixing cell #88, e23Cux2
2024-03-15 11:58:16,125 [INFO] Fixing cell #89, e23Cux2
2024-03-15 11:58:16,199 [INFO] Fixing cell #90, e23Cux2
2024-03-15 11:58:16,277 [INFO] Fixing cell #91, e23Cux2
2024-03-15 11:58:16,341 [INFO] Fixing cell #92, e23Cux2
2024-03-15 11:58:16,425 [INFO] Fixing cell #93, e23Cux2
2024-03-15 11:58:16,502 [INFO] Fixing cell #94, e23Cux2
2024-03-15 11:58:16,606 [INFO] Fixing cell #95, e23Cux2
2024-03-15 11:58:16,689 [INFO] Fixing cell #96, e23Cux2
2024-03-15 11:58:16,755 [INFO] Fixing cell #97, e23Cux2
2024-03-15 11:58:16,837 [INFO] Fixing cell #98, e23Cux2
2024-03-15 11:58:16,913 [INFO] Fixing cell #99, e23Cux2
2024-03-15 11:58:16,946 [INFO] Building recurrent connections
2024-03-15 11:58:21,977 [INFO] Running simulation for 100.000 ms with the time step 0.025 ms
2024-03-15 11:58:21,977 [INFO] Starting timestep: 0 at t_sim: 0.000 ms
2024-03-15 11:58:21,977 [INFO] Block save every 1000 steps
2024-03-15 11:59:10,430 [INFO]     step:1000 t_sim:25.00 ms
2024-03-15 11:59:57,232 [INFO]     step:2000 t_sim:50.00 ms
2024-03-15 12:00:48,288 [INFO]     step:3000 t_sim:75.00 ms
2024-03-15 12:01:37,470 [INFO]     step:4000 t_sim:100.00 ms
2024-03-15 12:01:37,503 [INFO] Simulation completed in 3.0 minutes, 15.53 seconds 
